participant,system,image_path,question,gt_answer,model_answer,is_correct,category,target_image_id,rating,note
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is the man wearing a white shirt?,yes,yes,True,attribute,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is he wearing beige trousers?,yes,yes,True,attribute,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is he wearing black shoes?,yes,no,False,attribute,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is he wearing sunglasses?,yes,yes,True,attribute,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is he holding a map?,yes,yes,True,relation,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is the woman wearing a floral-patterned T-shirt?,yes,no,False,attribute,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is she wearing denim shorts?,yes,yes,True,attribute,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is she wearing sandals?,yes,yes,True,attribute,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is she carrying a suitcase?,yes,no,False,relation,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is she carrying a coffee cup?,yes,yes,True,relation,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is the other man wearing a bright green T-shirt?,yes,yes,True,attribute,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is he wearing beige shorts?,yes,yes,True,attribute,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is he wearing black sandals?,yes,yes,True,attribute,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is he standing with his hands in his pockets?,yes,yes,True,relation,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is the other woman wearing a sky-blue dress?,yes,yes,True,attribute,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is she wearing brown sandals?,yes,yes,True,attribute,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is she holding a straw hat?,yes,no,False,relation,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Is she holding a small camera to take a photo?,yes,yes,True,relation,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-33-19/image.png,Are there yellow buildings in the background?,yes,yes,True,relation,target2,6.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is the man wearing a white shirt?,yes,no,False,attribute,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is he wearing beige trousers?,yes,yes,True,attribute,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is he wearing black shoes?,yes,no,False,attribute,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is he wearing sunglasses?,yes,yes,True,attribute,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is he holding a map?,yes,yes,True,relation,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is the woman wearing a floral-patterned T-shirt?,yes,yes,True,attribute,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is she wearing denim shorts?,yes,no,False,attribute,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is she wearing sandals?,yes,yes,True,attribute,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is she carrying a suitcase?,yes,yes,True,relation,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is she carrying a coffee cup?,yes,yes,True,relation,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is the other man wearing a bright green T-shirt?,yes,yes,True,attribute,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is he wearing beige shorts?,yes,yes,True,attribute,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is he wearing black sandals?,yes,yes,True,attribute,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is he standing with his hands in his pockets?,yes,no,False,relation,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is the other woman wearing a sky-blue dress?,yes,yes,True,attribute,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is she wearing brown sandals?,yes,no,False,attribute,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is she holding a straw hat?,yes,no,False,relation,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Is she holding a small camera to take a photo?,yes,no,False,relation,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-38-32/image.png,Are there yellow buildings in the background?,yes,yes,True,relation,target2,4.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is the man wearing a white shirt?,yes,no,False,attribute,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is he wearing beige trousers?,yes,yes,True,attribute,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is he wearing black shoes?,yes,no,False,attribute,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is he wearing sunglasses?,yes,no,False,attribute,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is he holding a map?,yes,no,False,relation,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is the woman wearing a floral-patterned T-shirt?,yes,yes,True,attribute,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is she wearing denim shorts?,yes,no,False,attribute,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is she wearing sandals?,yes,yes,True,attribute,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is she carrying a suitcase?,yes,yes,True,relation,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is she carrying a coffee cup?,yes,no,False,relation,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is the other man wearing a bright green T-shirt?,yes,yes,True,attribute,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is he wearing beige shorts?,yes,yes,True,attribute,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is he wearing black sandals?,yes,yes,True,attribute,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is he standing with his hands in his pockets?,yes,yes,True,relation,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is the other woman wearing a sky-blue dress?,yes,yes,True,attribute,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is she wearing brown sandals?,yes,yes,True,attribute,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is she holding a straw hat?,yes,yes,True,relation,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Is she holding a small camera to take a photo?,yes,yes,True,relation,target2,5.0,
P1,system1,./output/P1/2025-08-24_11-40-43/image.png,Are there yellow buildings in the background?,yes,yes,True,relation,target2,5.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the elderly man wearing a black beret hat?,yes,no,False,attribute,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the elderly man wearing a light gray cardigan?,yes,yes,True,attribute,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the elderly man wearing dark pants?,yes,no,False,attribute,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the elderly man wearing black shoes?,yes,yes,True,attribute,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the woman wearing a dress with floral pattern?,yes,yes,True,attribute,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the woman wearing white shoes?,yes,no,False,attribute,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the woman carrying a basket?,yes,yes,True,relation,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the man wearing a bright blue polo shirt?,yes,yes,True,attribute,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the man wearing beige shorts?,yes,yes,True,attribute,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the man wearing black shoes?,yes,yes,True,attribute,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the man carrying a straw basket with the woman?,yes,no,False,attribute,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the man holding a large tray filled with bottled water?,yes,no,False,relation,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the girl wearing a pink sleeveless top?,yes,yes,True,attribute,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the girl wearing a white skirt?,yes,yes,True,attribute,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the girl wearing pink shoes?,yes,yes,True,attribute,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the girl holding a yellow balloon floating above her?,yes,yes,True,relation,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is the girl carrying a brown teddy bear by its arm?,yes,yes,True,relation,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Are there green trees in the background?,yes,yes,True,relation,target1,3.0,
P1,system2,./output/P1/2025-08-24_11-56-33/image.png,Is there a car in the background?,yes,yes,True,relation,target1,3.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the elderly man wearing a black beret hat?,yes,yes,True,attribute,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the elderly man wearing a light gray cardigan?,yes,yes,True,attribute,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the elderly man wearing dark pants?,yes,yes,True,attribute,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the elderly man wearing black shoes?,yes,yes,True,attribute,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the woman wearing a dress with floral pattern?,yes,yes,True,attribute,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the woman wearing white shoes?,yes,no,False,attribute,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the woman carrying a basket?,yes,yes,True,relation,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the man wearing a bright blue polo shirt?,yes,yes,True,attribute,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the man wearing beige shorts?,yes,yes,True,attribute,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the man wearing black shoes?,yes,no,False,attribute,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the man carrying a straw basket with the woman?,yes,no,False,attribute,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the man holding a large tray filled with bottled water?,yes,yes,True,relation,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the girl wearing a pink sleeveless top?,yes,yes,True,attribute,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the girl wearing a white skirt?,yes,yes,True,attribute,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the girl wearing pink shoes?,yes,yes,True,attribute,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the girl holding a yellow balloon floating above her?,yes,yes,True,relation,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is the girl carrying a brown teddy bear by its arm?,yes,yes,True,relation,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Are there green trees in the background?,yes,yes,True,relation,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-02-52/image.png,Is there a car in the background?,yes,yes,True,relation,target1,6.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the elderly man wearing a black beret hat?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the elderly man wearing a light gray cardigan?,yes,no,False,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the elderly man wearing dark pants?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the elderly man wearing black shoes?,yes,no,False,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the woman wearing a dress with floral pattern?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the woman wearing white shoes?,yes,no,False,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the woman carrying a basket?,yes,yes,True,relation,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the man wearing a bright blue polo shirt?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the man wearing beige shorts?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the man wearing black shoes?,yes,no,False,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the man carrying a straw basket with the woman?,yes,no,False,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the man holding a large tray filled with bottled water?,yes,yes,True,relation,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the girl wearing a pink sleeveless top?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the girl wearing a white skirt?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the girl wearing pink shoes?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the girl holding a yellow balloon floating above her?,yes,yes,True,relation,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is the girl carrying a brown teddy bear by its arm?,yes,yes,True,relation,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Are there green trees in the background?,yes,yes,True,relation,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-04-10/image.png,Is there a car in the background?,yes,yes,True,relation,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the elderly man wearing a black beret hat?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the elderly man wearing a light gray cardigan?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the elderly man wearing dark pants?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the elderly man wearing black shoes?,yes,no,False,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the woman wearing a dress with floral pattern?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the woman wearing white shoes?,yes,no,False,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the woman carrying a basket?,yes,yes,True,relation,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the man wearing a bright blue polo shirt?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the man wearing beige shorts?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the man wearing black shoes?,yes,no,False,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the man carrying a straw basket with the woman?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the man holding a large tray filled with bottled water?,yes,yes,True,relation,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the girl wearing a pink sleeveless top?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the girl wearing a white skirt?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the girl wearing pink shoes?,yes,yes,True,attribute,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the girl holding a yellow balloon floating above her?,yes,yes,True,relation,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is the girl carrying a brown teddy bear by its arm?,yes,yes,True,relation,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Are there green trees in the background?,yes,yes,True,relation,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-08-34/image.png,Is there a car in the background?,yes,yes,True,relation,target1,4.0,
P1,system2,./output/P1/2025-08-24_12-10-24/image.png,Is the elderly man wearing a black beret hat?,yes,yes,True,attribute,target1,4.0,
