participant,system,rating,region_captions
P1,system1,6.0,"['a man wearing a white shirt, beige pants, and black shoes, holding a map in his right hand and wearing sunglasses', 'a woman wearing a white shirt with pink flower patterns, short jeans, and a pair of sandals, holding a coffee in her left hand and a grey luggage in her right hand', 'a man wearing a green shirt, beige shorts, and black shoes, with short black hair and wearing a watch on his left wrist', 'a woman wearing a long light-blue dress and a pair of sandals, holding a beige hat in her left hand and a black camera in her right hand', 'a city with yellow and white colored antique buildings in the back']"
P1,system1,4.0,"['a man wearing a white shirt, beige pants, and black shoes, holding a map in his right hand and wearing sunglasses, with his face heading to his left, and wearing a watch on his left hand', 'a woman wearing a white shirt with pink and light blue small flower patterns, short jeans, and a pair of black sandals, holding a coffee in her left hand and a grey luggage in her right hand, not wearing sunglasses', 'a man wearing a green neon t-shirt, beige shorts, and black shoes, with short black hair, wearing a watch on his left wrist, and with his face heading to his left', 'a woman wearing a long light-blue dress with no sleeves and a pair of sandals, holding a beige hat in her left hand and a black camera in her right hand, with the camera held right in front of her face as she is seeing through the lens', 'a city with yellow and white colored antique buildings in the back']"
P1,system1,5.0,"['a man wearing a white shirt, beige pants, and black shoes, holding a map in his right hand and wearing sunglasses, with his face heading to his left, and a watch on his left hand', 'a woman wearing a white shirt with pink and light blue small flower patterns, short jeans, and a pair of black sandals, holding a coffee in her left hand and a grey luggage in her right hand, not wearing sunglasses, with long dark-brown hair', 'a man wearing a green t-shirt, beige shorts, and black shoes, with short black hair, wearing a watch on his left wrist and his face heading to his left', 'a woman wearing a long light-blue dress with no sleeves and a pair of sandals, holding a beige hat in her left hand and a black camera in her right hand, with the camera held right in front of her face as she is seeing through the lens', 'a city with yellow and white colored antique buildings in the back']"
P1,system2,3.0,"['Grandpa with white hair wearing a black cap, a white shirt, a grey cardigan, and black long pants. He is wearing a pair of black shoes.', 'A woman with dark brown hair and slightly tanned skin, wearing a short sleeve long dress with small pink and light-blue flower patterns. She is holding a wooden basket and holding hands with a male.', 'A dark, slightly tanned male wearing a short-sleeve blue shirt and beige short pants, holding a bunch of bottled water. He has short, curly dark brown hair.', 'A little girl wearing a hot-pink t-shirt with no sleeves, a white mid-length skirt, and pink sandals. She is holding a brown teddy bear in her right hand and a yellow balloon in her left hand.', 'A road with two black cars and a lot of trees with green leaves.']"
P1,system2,6.0,"['a grandpa with white hair wearing a black cap, a white shirt, a grey cardigan, and black long pants, and a pair of black shoes, watching a girl', 'a woman with dark brown, slightly tanned skin wearing a short-sleeved dress that has long small pink and light-blue flower patterns, holding hands with a male, and holding a wooden basket', 'a dark brown, slightly tanned male with short, curly dark brown hair wearing a short-sleeve blue shirt and beige shorts, holding a bunch of bottled water', 'a little girl wearing a hot-pink, no-sleeve t-shirt, a white mid-length skirt, and pink sandals, holding a yellow balloon in her left hand and a small brown teddy bear with black eyes in her right hand', 'a road with two black cars and a lot of trees with green leaves', 'a bunch of bottled water', 'a wooden basket', 'a yellow balloon', 'a small brown teddy bear with black eyes']"
P1,system2,4.0,"['a grandpa with white hair wearing a black cap, a white shirt, a grey cardigan, and black long pants, with a pair of black shoes, watching a girl', 'a woman with dark brown, slightly tanned skin wearing a short-sleeved dress that has long small pink and light-blue flower patterns, holding hands with a male and holding a wooden basket', 'a dark brown, slightly tanned male with short, curly dark brown hair wearing a short-sleeve blue shirt and beige shorts, holding a bunch of bottled water', 'a little girl wearing a hot-pink, no-sleeve t-shirt, a white mid-length skirt, and pink sandals, holding a yellow balloon in her left hand and a small brown teddy bear with black eyes in her right hand', 'a road with two black cars and a lot of trees with green leaves', 'a bunch of bottled water', 'a wooden basket', 'a yellow balloon', 'a small brown teddy bear with black eyes']"
P1,system2,4.0,"['a grandpa with white hair wearing a black cap, a white shirt, a grey cardigan, and black long pants, with a pair of black shoes, watching a girl', 'a woman with dark brown, slightly tanned skin wearing a short-sleeved dress that has long small pink and light-blue flower patterns, looking front, holding hands with a male and holding a wooden basket', 'a dark brown, slightly tanned male with short, curly dark brown hair wearing a short-sleeve blue shirt and beige shorts, looking front, holding a bunch of bottled water', 'a little girl wearing a hot-pink no-sleeve t-shirt, a white mid-length skirt, and pink sandals, holding a yellow balloon in her left hand and a small brown teddy bear with black eyes in her right hand', 'a road with two black cars and a lot of trees with green leaves', 'a bunch of bottled water', 'a wooden basket', 'a yellow balloon', 'a small brown teddy bear with black eyes']"
P1,system2,4.0,"['a grandpa with white hair wearing a black cap, a white shirt, a grey cardigan, and black long pants, with a pair of black shoes, watching a girl', 'a woman with dark brown, slightly tanned skin wearing a short-sleeved dress that has long small pink and light-blue flower patterns, looking backward, holding hands with a male and holding a wooden basket', 'a dark brown, slightly tanned male with short, curly dark brown hair wearing a short-sleeve blue shirt and beige shorts, looking backward, holding a bunch of bottled water', 'a little girl wearing a hot-pink no-sleeve t-shirt, a white mid-length skirt, and pink sandals, holding a yellow balloon in her left hand and a small brown teddy bear with black eyes in her right hand', 'a road with two black cars and a lot of trees with green leaves', 'a bunch of bottled water', 'a wooden basket', 'a yellow balloon', 'a small brown teddy bear with black eyes']"
P11,system2,5.0,"['a man wearing a white shirt, wearing sunglasses, holding a map, wearing black shoes, brown pants, and a silver watch on his left wrist, with his hands in his pockets', 'a man wearing a green t-shirt, brown shorts, and black shoes, with a silver watch on his left wrist and his hands in his pockets', 'a woman with long brown hair wearing a shirt with flower patterns on it, wearing short blue pants, holding a cup of coffee in her left hand, dragging a silver trunk in her right hand, wearing slippers and a little fat', 'a short, average-height woman with black hair wearing a light blue one-piece dress and sandals, holding a black camera in her left hand and dragging a beige straw hat in her right hand']"
P11,system2,6.0,"['a man wearing a white shirt, wearing sunglasses, holding a map, wearing black shoes, brown pants, and a silver watch on his left wrist, with his hands in his pockets', 'a man wearing a green t-shirt, brown shorts, and black shoes, with a silver watch on his left wrist and his hands in his pockets', 'a woman with long brown hair wearing a shirt with flower patterns on it, wearing short blue pants, holding a cup of coffee in her left hand, dragging a silver trunk in her right hand, wearing slippers and a little fat', 'a short, average-height woman with black hair wearing a light blue one-piece dress and sandals, looking up while holding a black camera in her right hand, positioned up to her face, and dragging a beige straw hat in her left hand', 'a wide-brimmed hat with a black ribbon', 'a shiny silver suitcase with vertical grooves and a retractable handle']"
