timestamp,id,event,details,id_group
2000-01-01 11:43:05,,instance.created_from_text,"{'position': {'x': 65.84375, 'y': 288}, 'screen_position': {'x': 127, 'y': 331}, 'board_type': 'advanced', 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 11:44:44,instance-7a1ebca4-f303-4497-87ae-c01929e70770,instance.updated,"{'instance_id': 'instance-7a1ebca4-f303-4497-87ae-c01929e70770', 'instance_label': 'grandpa', 'text_changed': True, 'graph_changed': False, 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 11:45:10,instance-7a1ebca4-f303-4497-87ae-c01929e70770,instance.updated,"{'instance_id': 'instance-7a1ebca4-f303-4497-87ae-c01929e70770', 'instance_label': 'grandpa', 'text_changed': True, 'graph_changed': False, 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 11:45:52,,instance.created_from_text,"{'position': {'x': 191.84375, 'y': 301}, 'screen_position': {'x': 253, 'y': 344}, 'board_type': 'advanced', 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 11:47:55,class-6a90e597-ae8b-4c2f-9c4a-b3afef6476ea,class.created,"{'class_id': 'class-6a90e597-ae8b-4c2f-9c4a-b3afef6476ea', 'class_name': 'woman Class', 'placeholder_count': 3, 'created_from': 'woman', 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 11:49:41,instance-df4f2a38-952c-4d4f-99ec-eb52cbbb0c0a,instance.created_from_class,"{'instance_id': 'instance-df4f2a38-952c-4d4f-99ec-eb52cbbb0c0a', 'class_id': 'class-6a90e597-ae8b-4c2f-9c4a-b3afef6476ea', 'instance_label': 'Male', 'has_text_description': True, 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 11:50:12,instance-df4f2a38-952c-4d4f-99ec-eb52cbbb0c0a,instance.updated,"{'instance_id': 'instance-df4f2a38-952c-4d4f-99ec-eb52cbbb0c0a', 'instance_label': 'male', 'text_changed': True, 'graph_changed': False, 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 11:52:18,instance-df4f2a38-952c-4d4f-99ec-eb52cbbb0c0a,instance.updated,"{'instance_id': 'instance-df4f2a38-952c-4d4f-99ec-eb52cbbb0c0a', 'instance_label': 'male', 'text_changed': False, 'graph_changed': True, 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 11:54:00,,instance.created_from_text,"{'position': {'x': 428.84375, 'y': 345}, 'screen_position': {'x': 490, 'y': 388}, 'board_type': 'advanced', 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 11:55:29,,instance.created_from_text,"{'position': {'x': 19.84375, 'y': 9}, 'screen_position': {'x': 81, 'y': 52}, 'board_type': 'advanced', 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 11:56:34,,api.generate_image.succeeded,"{'global_caption': 'A scene featuring a grandpa with white hair wearing a black cap, a white shirt, a grey cardigan, and black long pants, with a pair of black shoes; a woman with dark brown hair and slightly tanned skin, wearing a short sleeve long dress with small pink and light-blue flower patterns, holding a wooden basket and holding hands with a male; a dark, slightly tanned male wearing a short-sleeve blue shirt and beige short pants, holding a bunch of bottled water and having short, curly dark brown hair; a little girl wearing a hot-pink t-shirt with no sleeves, a white mid-length skirt, and pink sandals, holding a brown teddy bear in her right hand and a yellow balloon in her left hand; and a road with two black cars and a lot of trees with green leaves.', 'region_count': 5, 'has_image': True, 'detected_objects_count': 8, 'image_path': 'output/P1/2025-08-24_11-56-33/image.png', 'image_with_layout_path': 'output/P1/2025-08-24_11-56-33/image_with_layout.png', 'timestamp_dir': 'output/P1/2025-08-24_11-56-33', 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 11:58:25,instance-df4f2a38-952c-4d4f-99ec-eb52cbbb0c0a,object_node.extract.confirmed,"{'object_id': 'object3', 'object_name': 'bunch of bottled water', 'parent_instance_id': 'instance-df4f2a38-952c-4d4f-99ec-eb52cbbb0c0a', 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 11:58:48,instance-d01373cb-6088-4a7c-a7b4-fdc5b1627e8f,object_node.extract.confirmed,"{'object_id': 'object3', 'object_name': 'basket', 'parent_instance_id': 'instance-d01373cb-6088-4a7c-a7b4-fdc5b1627e8f', 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 11:59:21,instance-7d6736ec-8114-4862-8acd-e84a612d4936,object_node.extract.confirmed,"{'object_id': 'object6', 'object_name': 'balloon', 'parent_instance_id': 'instance-7d6736ec-8114-4862-8acd-e84a612d4936', 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 11:59:23,instance-7d6736ec-8114-4862-8acd-e84a612d4936,object_node.extract.confirmed,"{'object_id': 'object5', 'object_name': 'teddybear', 'parent_instance_id': 'instance-7d6736ec-8114-4862-8acd-e84a612d4936', 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 12:00:04,ec15b208-f034-4d74-b4ac-957e1b033274,instance.created_from_detection,"{'instanceId': 'ec15b208-f034-4d74-b4ac-957e1b033274', 'label': 'Teddy bear', 'originalObjectLabel': 'teddy bear', 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 12:00:46,ec15b208-f034-4d74-b4ac-957e1b033274,instance.updated,"{'instance_id': 'ec15b208-f034-4d74-b4ac-957e1b033274', 'instance_label': 'Teddy bear', 'text_changed': False, 'graph_changed': True, 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
2000-01-01 12:01:04,ec15b208-f034-4d74-b4ac-957e1b033274,instance.updated,"{'instance_id': 'ec15b208-f034-4d74-b4ac-957e1b033274', 'instance_label': 'Teddy bear', 'text_changed': False, 'graph_changed': True, 'session_id': 'f3a98b52-1140-468d-8d62-b41701528433', 'user_id': 'P1'}",1
