timestamp,event,details
03:45:46,experiment_started,"{'language': 'ko', 'demographic_data': {'age': '22', 'gender': 'male', 'occupation': '대학생', 'ai_tool_types': ['text', 'image', 'video'], 'ai_frequency': 'daily', 'ai_purposes': ['study', 'work'], 'ai_proficiency': '6', 'english_level': 'intermediate', 'programming_duration': '1-3', 'programming_languages': ['python', 'java', 'r', 'cpp'], 'programming_contexts': ['data', 'research', 'ml'], 'programming_proficiency': '5', 'system_order': 'system1_first'}, 'session_id': '5c80c448-3160-44a9-a933-407b23b40792', 'user_id': 'P3'}"
03:46:39,layout_board.new_box_initiated,"{'board_type': 'baseline', 'timestamp': '2025-08-14T03:46:39.499Z', 'session_id': '5c80c448-3160-44a9-a933-407b23b40792', 'user_id': 'P3'}"
03:46:45,baselineboard.node.add.instance,"{'instanceId': 'instance-be63ab76-18b4-4b7e-ade4-9ffdd3a544a1', 'instanceLabel': 'ㅡ무', 'createdNodeIds': ['instance-be63ab76-18b4-4b7e-ade4-9ffdd3a544a1', 'instance-be63ab76-18b4-4b7e-ade4-9ffdd3a544a1-resizable'], 'session_id': '5c80c448-3160-44a9-a933-407b23b40792', 'user_id': 'P3'}"
03:46:51,baselineboard.node.edit,"{'nodeId': 'instance-be63ab76-18b4-4b7e-ade4-9ffdd3a544a1', 'newLabel': 'man', 'session_id': '5c80c448-3160-44a9-a933-407b23b40792', 'user_id': 'P3'}"
03:46:54,layout_board.new_box_initiated,"{'board_type': 'baseline', 'timestamp': '2025-08-14T03:46:54.134Z', 'session_id': '5c80c448-3160-44a9-a933-407b23b40792', 'user_id': 'P3'}"
03:47:02,layout_board.new_box_initiated,"{'board_type': 'baseline', 'timestamp': '2025-08-14T03:47:02.616Z', 'session_id': '5c80c448-3160-44a9-a933-407b23b40792', 'user_id': 'P3'}"
03:47:06,baselineboard.node.add.instance,"{'instanceId': 'instance-82420942-2052-4e81-ac4d-a8cf017dda25', 'instanceLabel': 'woman', 'createdNodeIds': ['instance-82420942-2052-4e81-ac4d-a8cf017dda25', 'instance-82420942-2052-4e81-ac4d-a8cf017dda25-resizable'], 'session_id': '5c80c448-3160-44a9-a933-407b23b40792', 'user_id': 'P3'}"
03:47:09,layout_board.new_box_initiated,"{'board_type': 'baseline', 'timestamp': '2025-08-14T03:47:08.999Z', 'session_id': '5c80c448-3160-44a9-a933-407b23b40792', 'user_id': 'P3'}"
03:47:15,baselineboard.node.add.instance,"{'instanceId': 'instance-11355466-b72b-4b24-9c9f-c28bc95bba7a', 'instanceLabel': 'kid', 'createdNodeIds': ['instance-11355466-b72b-4b24-9c9f-c28bc95bba7a', 'instance-11355466-b72b-4b24-9c9f-c28bc95bba7a-resizable'], 'session_id': '5c80c448-3160-44a9-a933-407b23b40792', 'user_id': 'P3'}"
03:47:19,layout_board.new_box_initiated,"{'board_type': 'baseline', 'timestamp': '2025-08-14T03:47:19.561Z', 'session_id': '5c80c448-3160-44a9-a933-407b23b40792', 'user_id': 'P3'}"
