sceneId,systemType,systemName,questionId,answer
1,system1,Baseline,1,yes
1,system1,Baseline,2,no
1,system1,Baseline,3,no
1,system1,Baseline,4,no
1,system1,Baseline,5,yes
1,system1,Baseline,6,no
1,system1,Baseline,7,yes
1,system1,Baseline,8,no
1,system1,Baseline,9,yes
1,system1,Baseline,10,yes
1,system1,Baseline,11,no
1,system1,Baseline,12,yes
1,system1,Baseline,13,yes
1,system1,Baseline,14,yes
1,system1,Baseline,15,no
1,system1,Baseline,16,yes
1,system1,Baseline,17,yes
1,system1,Baseline,18,no
1,system1,Baseline,19,no
2,system1,Baseline,1,yes
2,system1,Baseline,2,yes
2,system1,Baseline,3,no
2,system1,Baseline,4,no
2,system1,Baseline,5,yes
2,system1,Baseline,6,no
2,system1,Baseline,7,yes
2,system1,Baseline,8,yes
2,system1,Baseline,9,yes
2,system1,Baseline,10,no
2,system1,Baseline,11,no
2,system1,Baseline,12,yes
2,system1,Baseline,13,yes
2,system1,Baseline,14,no
2,system1,Baseline,15,no
2,system1,Baseline,16,yes
2,system1,Baseline,17,yes
2,system1,Baseline,18,no
2,system1,Baseline,19,yes
3,system1,Baseline,1,yes
3,system1,Baseline,2,yes
3,system1,Baseline,3,yes
3,system1,Baseline,4,yes
3,system1,Baseline,5,yes
3,system1,Baseline,6,no
3,system1,Baseline,7,no
3,system1,Baseline,8,yes
3,system1,Baseline,9,yes
3,system1,Baseline,10,yes
3,system1,Baseline,11,no
3,system1,Baseline,12,yes
3,system1,Baseline,13,yes
3,system1,Baseline,14,yes
3,system1,Baseline,15,yes
3,system1,Baseline,16,yes
3,system1,Baseline,17,yes
3,system1,Baseline,18,no
3,system1,Baseline,19,no
4,system1,Baseline,1,no
4,system1,Baseline,2,yes
4,system1,Baseline,3,yes
4,system1,Baseline,4,no
4,system1,Baseline,5,no
4,system1,Baseline,6,yes
4,system1,Baseline,7,yes
4,system1,Baseline,8,yes
4,system1,Baseline,9,yes
4,system1,Baseline,10,yes
4,system1,Baseline,11,yes
4,system1,Baseline,12,yes
4,system1,Baseline,13,yes
4,system1,Baseline,14,yes
4,system1,Baseline,15,yes
4,system1,Baseline,16,yes
4,system1,Baseline,17,yes
4,system1,Baseline,18,yes
4,system1,Baseline,19,no
5,system1,Baseline,1,yes
5,system1,Baseline,2,yes
5,system1,Baseline,3,yes
5,system1,Baseline,4,yes
5,system1,Baseline,5,yes
5,system1,Baseline,6,no
5,system1,Baseline,7,no
5,system1,Baseline,8,yes
5,system1,Baseline,9,yes
5,system1,Baseline,10,yes
5,system1,Baseline,11,no
5,system1,Baseline,12,yes
5,system1,Baseline,13,no
5,system1,Baseline,14,yes
5,system1,Baseline,15,yes
5,system1,Baseline,16,yes
5,system1,Baseline,17,no
5,system1,Baseline,18,no
5,system1,Baseline,19,no
6,system1,Baseline,1,yes
6,system1,Baseline,2,yes
6,system1,Baseline,3,yes
6,system1,Baseline,4,yes
6,system1,Baseline,5,yes
6,system1,Baseline,6,yes
6,system1,Baseline,7,no
6,system1,Baseline,8,yes
6,system1,Baseline,9,yes
6,system1,Baseline,10,yes
6,system1,Baseline,11,no
6,system1,Baseline,12,yes
6,system1,Baseline,13,yes
6,system1,Baseline,14,yes
6,system1,Baseline,15,yes
6,system1,Baseline,16,yes
6,system1,Baseline,17,yes
6,system1,Baseline,18,no
6,system1,Baseline,19,no
7,system1,Baseline,1,yes
7,system1,Baseline,2,yes
7,system1,Baseline,3,yes
7,system1,Baseline,4,yes
7,system1,Baseline,5,yes
7,system1,Baseline,6,yes
7,system1,Baseline,7,yes
